year,kms,city,seats,power,transmission,fuel,doors,seats,consumption,acceleration,max_speed,price,url
2017,110,Madrid,4,150,Manual,Diesel,2,4,4.2,8.6,215.0,22900,https://www.coches.net/bmw-serie-4-418d-diesel-2017-en-madrid-52684701-covo.aspx
2016,106,Madrid,5,150,Manual,Diesel,4,5,4.0,8.6,215.0,16900,https://www.coches.net/bmw-serie-3-318d-diesel-2016-en-madrid-52533312-covo.aspx
2015,98,Vizcaya,5,115,Manual,Diesel,5,5,3.7,11.3,193.0,12990,https://www.coches.net/peugeot-308-nuevo-308-sw-business-line-16-ehdi-115-5p-diesel-2015-en-vizcaya-52604593-covo.aspx
2017,138,Vizcaya,5,140,Manual,Gasolina,5,5,5.9,9.9,196.0,16990,https://www.coches.net/opel-mokka-x-14-t-103kw-140cv-4x2-ss-selective-5p-gasolina-2017-en-vizcaya-52599758-covo.aspx
2017,106,Madrid,5,150,Automático,Diesel,4,5,4.0,8.4,212.0,21900,https://www.coches.net/bmw-serie-3-318da-business-diesel-2017-en-madrid-52700629-covo.aspx
2017,109,Soria,5,150,Manual,Diesel,5,5,4.1,9.2,205.0,20900,https://www.coches.net/bmw-x1-sdrive18d-diesel-2017-en-soria-52756441-covo.aspx
2015,119,Madrid,5,136,Manual,Gasolina,4,5,5.1,8.9,210.0,18500,https://www.coches.net/bmw-serie-3-318i-gasolina-2015-en-madrid-52700623-covo.aspx
2018,119,Madrid,5,150,Automático,Diesel,4,5,4.5,8.4,212.0,24900,https://www.coches.net/bmw-serie-3-318d-diesel-2018-en-madrid-52599452-covo.aspx
2021,131,-,5,150,Manual,Gasolina,5,5,5.7,8.5,200.0,25900,https://www.coches.net/seat-ateca-15-tsi-110kw-150cv-ss-xperience-gasolina-2021-en-sta_c_tenerife-52701940-covo.aspx
2019,113,Madrid,5,150,Manual,Diesel,4,5,4.3,8.4,226.0,27900,https://www.coches.net/bmw-serie-3-318d-4p-diesel-2019-en-madrid-52610915-covo.aspx
2018,119,Madrid,5,190,Automático,Diesel,4,5,4.5,7.6,232.0,28900,https://www.coches.net/bmw-serie-5-520da-xdrive-diesel-2018-en-madrid-52669937-covo.aspx
2019,180,-,5,150,Manual,Diesel,4,5,7.0,,179.0,48900,https://www.coches.net/volkswagen-california-beach-tour-tdi-110kw-150cv-bmt-dsg-5p-diesel-2019-en-sta_c_tenerife-51946660-covo.aspx
2013,197000,Málaga,5,110,Manual,Diesel,5,5,3.2,10.5,200.0,10200,https://www.coches.net/volkswagen-golf-bluemotion-16-tdi-110cv-5p-diesel-2013-en-malaga-52756389-covo.aspx
2017,113,Madrid,5,190,Automático,Diesel,5,5,4.3,7.6,230.0,20900,https://www.coches.net/bmw-serie-3-320d-touring-diesel-2017-en-madrid-52694080-covo.aspx
2018,64000,Murcia,5,150,Manual,Gasolina,5,5,5.6,8.4,205.0,20999,https://www.coches.net/volkswagen-troc-sport-15-tsi-110kw-150cv-dsg-5p-gasolina-2018-en-murcia-52756431-covo.aspx
2017,113,Cuenca,5,190,Manual,Diesel,5,5,4.3,7.6,230.0,20900,https://www.coches.net/bmw-serie-3-320d-touring-diesel-2017-en-cuenca-52569858-covo.aspx
2016,174,Vizcaya,5,207,Manual,Gasolina,3,5,7.5,6.8,230.0,17490,https://www.coches.net/opel-corsa-16-turbo-opc-3p-gasolina-2015-en-vizcaya-52054354-covo.aspx
2005,450000,Sevilla,5,150,Manual,Diesel,5,5,7.2,10.2,198.0,3490,https://www.coches.net/bmw-x3-20d-5p-diesel-2005-en-sevilla-52756421-covo.aspx
2011,195,Madrid,5,240,Automático,Diesel,5,5,7.4,7.8,218.0,23990,https://www.coches.net/porsche-cayenne-30-td-tiptronic-diesel-2011-en-madrid-52756416-covo.aspx
2018,128,Madrid,5,184,Automático,Gasolina,4,5,5.5,7.2,235.0,29900,https://www.coches.net/bmw-serie-3-320i-gasolina-2018-en-madrid-52700473-covo.aspx
2004,122990,Madrid,5,110,Manual,Gasolina,5,5,7.0,10.2,190.0,3500,https://www.coches.net/toyota-corolla-16-vvti-linea-sol-5p-gasolina-2004-en-madrid-52756390-covo.aspx
2020,110,-,5,110,Manual,Gasolina,5,5,4.8,10.2,195.0,15900,https://www.coches.net/seat-ibiza-10-tsi-81kw-110cv-fr-gasolina-2020-en-sta_c_tenerife-52570597-covo.aspx
